location,size,total_sqft,bath,price,bhk,price_sqft
Kaval Byrasandra,3 BHK,1450,3,75,3,5172.413793
Kaval Byrasandra,2 BHK,1066,2,55,2,5159.474672
Kaval Byrasandra,2 BHK,1025,2,60,2,5853.658537
Kaval Byrasandra,3 BHK,1400,3,75,3,5357.142857
Kenchenahalli,2 BHK,1015,2,58,2,5714.285714
Kenchenahalli,1 BHK,715,1,45,1,6293.706294
Kenchenahalli,2 BHK,1150,2,58,2,5043.478261
Kenchenahalli,3 BHK,1280,2,69,3,5390.625
Kenchenahalli,2 BHK,870,1,45,2,5172.413793
Kenchenahalli,2 BHK,1150,2,60,2,5217.391304
Kenchenahalli,1 BHK,700,1,35,1,5000
Kenchenahalli,2 BHK,1060,2,52,2,4905.660377
Kenchenahalli,2 BHK,1150,2,57,2,4956.521739
Kenchenahalli,3 BHK,1720,3,100,3,5813.953488
Kenchenahalli,2 BHK,1015,2,60,2,5911.330049
Kengeri,2 BHK,750,2,38,2,5066.666667
Kengeri,2 BHK,1197,2,50,2,4177.10944
Kengeri,2 BHK,1200,2,58,2,4833.333333
Kengeri,2 BHK,726,2,31,2,4269.972452
Kengeri,2 BHK,1025,2,57,2,5560.97561
Kengeri,3 BHK,1082,2,49,3,4528.650647
Kengeri,2 BHK,750,2,36,2,4800
Kengeri,2 BHK,963,2,40,2,4153.686397
Kengeri,2 BHK,726,2,35,2,4820.936639
Kengeri,1 BHK,416,1,19.5,1,4687.5
Kengeri,2 BHK,900,2,45,2,5000
Kengeri,1 BHK,502,1,25,1,4980.079681
Kengeri,3 Bedroom,1200,3,67,3,5583.333333
Kengeri,2 BHK,725,2,30,2,4137.931034
Kengeri,1 BHK,500,1,17,1,3400
Kengeri,1 BHK,540,1,22.5,1,4166.666667
Kengeri,2 BHK,750,2,35.5,2,4733.333333
Kengeri,3 BHK,1741,3,80,3,4595.06031
Kengeri,2 Bedroom,1200,2,58,2,4833.333333
Kengeri,2 BHK,750,2,36.5,2,4866.666667
Kengeri,1 BHK,416,1,18,1,4326.923077
Kengeri,2 BHK,883,2,49,2,5549.263873
Kengeri,2 BHK,1052,2,51,2,4847.908745
Kengeri,2 BHK,1220,2,63,2,5163.934426
Kengeri,1 Bedroom,1150,1,52,1,4521.73913
Kengeri,2 BHK,1192,2,53.5,2,4488.255034
Kengeri,2 BHK,750,2,40,2,5333.333333
Kengeri,2 BHK,1035,2,51.5,2,4975.845411
Kengeri,8 Bedroom,3000,5,130,8,4333.333333
Kengeri,1 BHK,410,1,15,1,3658.536585
Kengeri,1 BHK,416,1,17.19,1,4132.211538
Kengeri,5 Bedroom,2500,4,100,5,4000
Kengeri,1 BHK,550,1,16.75,1,3045.454545
Kengeri Satellite Town,2 BHK,890,2,35,2,3932.58427
Kengeri Satellite Town,2 BHK,883,2,45,2,5096.262741
Kengeri Satellite Town,3 BHK,1415,2,66,3,4664.310954
Kengeri Satellite Town,1 BHK,930,1,30,1,3225.806452
Kengeri Satellite Town,3 BHK,1635,2,78,3,4770.642202
Kengeri Satellite Town,2 BHK,1050,2,43,2,4095.238095
Kengeri Satellite Town,2 BHK,1007,2,42,2,4170.804369
Kengeri Satellite Town,2 BHK,635,1,22,2,3464.566929
Kengeri Satellite Town,2 BHK,818,2,26,2,3178.484108
Kengeri Satellite Town,2 BHK,1030,2,50,2,4854.368932
Kengeri Satellite Town,2 Bedroom,1200,2,65,2,5416.666667
Kengeri Satellite Town,2 BHK,795,2,32,2,4025.157233
Kengeri Satellite Town,2 BHK,1302.5,2,44.285,2,3400
Kengeri Satellite Town,2 BHK,800,2,40,2,5000
Kengeri Satellite Town,1 BHK,654,1,22,1,3363.914373
Kengeri Satellite Town,2 BHK,1060,2,42,2,3962.264151
Kengeri Satellite Town,2 BHK,750,2,33,2,4400
Kengeri Satellite Town,2 BHK,920,2,39,2,4239.130435
Kengeri Satellite Town,2 BHK,985,2,42,2,4263.959391
Kengeri Satellite Town,1 BHK,410,1,15,1,3658.536585
Kengeri Satellite Town,2 BHK,1120,2,49,2,4375
Kengeri Satellite Town,2 BHK,1110,2,43,2,3873.873874
Kengeri Satellite Town,2 BHK,1170,2,50,2,4273.504274
Kengeri Satellite Town,2 BHK,777.4,2,25,2,3215.847697
Kengeri Satellite Town,2 BHK,800,2,32,2,4000
Kereguddadahalli,2 BHK,950,2,32,2,3368.421053
Kereguddadahalli,3 BHK,1400,2,48,3,3428.571429
Kereguddadahalli,2 BHK,800,2,28,2,3500
Kereguddadahalli,2 BHK,904,2,30,2,3318.584071
Kereguddadahalli,2 BHK,1000,2,30,2,3000
Kereguddadahalli,3 BHK,1240,3,41,3,3306.451613
Kereguddadahalli,1 BHK,600,1,19.5,1,3250
Kereguddadahalli,2 BHK,1080,2,32,2,2962.962963
Kereguddadahalli,2 BHK,1000,2,34,2,3400
Kereguddadahalli,2 BHK,1015,2,35,2,3448.275862
Kodichikkanahalli,3 BHK,1190,2,57,3,4789.915966
Kodichikkanahalli,2 BHK,995,2,41,2,4120.603015
Kodichikkanahalli,5 BHK,2700,7,125,5,4629.62963
Kodichikkanahalli,3 BHK,1495,2,75,3,5016.722408
Kodichikkanahalli,2 BHK,1125,2,52,2,4622.222222
Kodichikkanahalli,2 BHK,1150,2,48,2,4173.913043
Kodichikkanahalli,2 BHK,1070,2,43,2,4018.691589
Kodichikkanahalli,3 BHK,1620,2,85,3,5246.91358
Kodichikkanahalli,2 BHK,1026,2,45,2,4385.964912
Kodichikkanahalli,5 Bedroom,2500,7,125,5,5000
Kodichikkanahalli,1 BHK,450,1,18,1,4000
Kodichikkanahalli,2 BHK,907,2,38.5,2,4244.762955
Kodichikkanahalli,2 BHK,1181,2,57,2,4826.41829
Kodichikkanahalli,2 BHK,900,2,42,2,4666.666667
Kodichikkanahalli,3 BHK,1400,3,66,3,4714.285714
Kodichikkanahalli,2 BHK,976,2,50,2,5122.95082
Kodichikkanahalli,5 Bedroom,2700,4,125,5,4629.62963
Kodichikkanahalli,2 BHK,1299,2,58,2,4464.973056
Kodigehaali,2 BHK,1166,2,55,2,4716.981132
Kodigehaali,3 BHK,1320,3,65,3,4924.242424
Kodigehaali,2 BHK,1117,2,56,2,5013.428827
Kodigehaali,2 BHK,1200,2,55,2,4583.333333
Kodigehaali,2 BHK,1200,2,60,2,5000
Kodigehaali,3 BHK,2120,3,177,3,8349.056604
Kodigehaali,2 BHK,1013,2,51,2,5034.550839
Kodigehaali,3 BHK,1324,3,65,3,4909.365559
Kodigehaali,2 BHK,965,2,38,2,3937.823834
Kodigehaali,2 BHK,866,2,32,2,3695.150115
Kodigehaali,3 BHK,1442,3,80,3,5547.850208
Kodigehalli,2 BHK,1270,2,98,2,7716.535433
Kodigehalli,2 BHK,1200,2,48,2,4000
Kodigehalli,1 BHK,655,1,53,1,8091.603053
Kodigehalli,3 BHK,1820,3,150,3,8241.758242
Kodigehalli,2 BHK,635,1,28,2,4409.448819
Kodigehalli,3 Bedroom,1200,4,156,3,13000
Kodihalli,4 BHK,3252,5,335,4,10301.35301
Kodihalli,3 BHK,2700,4,270,3,10000
Kodihalli,3 BHK,2392,4,260,3,10869.56522
Kodihalli,3 BHK,2408,4,260,3,10797.34219
Kodihalli,3 BHK,2500,4,260,3,10400
Kodihalli,3 BHK,1620,3,130,3,8024.691358
Kodihalli,4 BHK,3260,5,388,4,11901.84049
Kodihalli,4 BHK,3197,5,335,4,10478.57366
Kodihalli,2 BHK,1490,2,150,2,10067.11409
Kogilu,3 BHK,1909,3,88,3,4609.743321
Kogilu,2 BHK,1170,2,51.99,2,4443.589744
Kogilu,2 Bedroom,650,2,28,2,4307.692308
Kogilu,2 BHK,1140,2,50.66,2,4443.859649
Kogilu,2 BHK,1200,2,53.33,2,4444.166667
Kogilu,3 BHK,1934,3,150,3,7755.946225
Kogilu,1 Bedroom,540,1,36,1,6666.666667
Kogilu,3 BHK,1559,3,127,3,8146.247595
Kogilu,2 BHK,1190,2,50.66,2,4257.142857
Kogilu,2 BHK,1140,2,50.66,2,4443.859649
Kogilu,3 BHK,1559,3,120,3,7697.241822
Kogilu,1 BHK,700,1,30.84,1,4405.714286
Kogilu,2 BHK,1250,2,55.55,2,4444
Kogilu,2 BHK,1200,2,53.33,2,4444.166667
Kogilu,2 BHK,952,2,49,2,5147.058824
Kogilu,1 BHK,700,1,30.84,1,4405.714286
Kogilu,2 BHK,1250,2,55.55,2,4444
Kogilu,7 Bedroom,2456,7,85,7,3460.912052
Kogilu,2 BHK,1140,2,50.66,2,4443.859649
Kogilu,2 BHK,1140,2,50.66,2,4443.859649
Konanakunte,3 BHK,2791,3,223,3,7989.967753
Konanakunte,2 Bedroom,884,1,58,2,6561.085973
Konanakunte,4 Bedroom,1200,4,125,4,10416.66667
Konanakunte,4 Bedroom,1200,2,130,4,10833.33333
Konanakunte,3 Bedroom,2400,2,180,3,7500
Konanakunte,4 Bedroom,3746,6,375,4,10010.67806
Konanakunte,3 BHK,1423,2,85,3,5973.295854
Koramangala,2 BHK,1320,2,165,2,12500
Koramangala,2 BHK,1253,2,102,2,8140.462889
Koramangala,3 BHK,1580,3,160,3,10126.58228
Koramangala,4 BHK,3500,5,425,4,12142.85714
Koramangala,2 BHK,1005,1,110,2,10945.27363
Koramangala,3 BHK,2292,4,275,3,11998.2548
Koramangala,2 BHK,1290,2,100,2,7751.937984
Koramangala,2 BHK,1300,2,110,2,8461.538462
Koramangala,2 BHK,1325,2,119,2,8981.132075
Koramangala,2 BHK,1140,2,75.2,2,6596.491228
Koramangala,2 BHK,1260,2,100,2,7936.507937
Koramangala,3 BHK,1975,3,210,3,10632.91139
Koramangala,2 BHK,1900,2,200,2,10526.31579
Koramangala,3 BHK,2292,3,286,3,12478.18499
Koramangala,3 BHK,2300,3,290,3,12608.69565
Koramangala,4 BHK,2503,6,325,4,12984.4187
Koramangala,2 BHK,1320,2,150,2,11363.63636
Koramangala,2 BHK,1320,2,110,2,8333.333333
Koramangala,4 BHK,5985,4,775,4,12949.03926
Koramangala,4 BHK,2461,6,353,4,14343.7627
Koramangala,3 BHK,2246,3,300,3,13357.07925
Koramangala,2 BHK,1083,2,100,2,9233.610342
Koramangala,3 BHK,1744,3,200,3,11467.88991
Koramangala,2 BHK,1180,2,128,2,10847.45763
Koramangala,2 BHK,1320,2,160,2,12121.21212
Koramangala,2 BHK,1370,2,125,2,9124.087591
Koramangala,2 BHK,1100,2,85,2,7727.272727
Koramangala,2 BHK,1249,2,165,2,13210.56845
Koramangala,2 BHK,1200,2,100,2,8333.333333
Koramangala,3 BHK,2223,3,300,3,13495.27665
Koramangala,3 BHK,1744,4,210,3,12041.2844
Koramangala,3 BHK,1866,4,245,3,13129.68917
Koramangala,2 BHK,1320,2,160,2,12121.21212
Koramangala,2 BHK,1350,2,103,2,7629.62963
Koramangala,4 Bedroom,6000,4,625,4,10416.66667
Koramangala,2 BHK,1320,2,160,2,12121.21212
Koramangala,3 BHK,1710,3,210,3,12280.70175
Koramangala,2 BHK,1355,2,95,2,7011.070111
Koramangala,3 BHK,1600,3,170,3,10625
Koramangala,2 BHK,1260,2,100,2,7936.507937
Kothannur,2 BHK,1206,2,48.23,2,3999.170813
Kothannur,2 BHK,1100,2,40,2,3636.363636
Kothannur,2 BHK,1197,2,47.88,2,4000
Kothannur,2 BHK,1197,2,47.8,2,3993.316625
Kothannur,2 BHK,1070,2,42.79,2,3999.065421
Kothannur,2 BHK,1070,2,38.6,2,3607.476636
Kothannur,3 BHK,1485,2,59.4,3,4000
Kothannur,3 BHK,1215,2,48.6,3,4000
Kothannur,3 BHK,1404,2,56.15,3,3999.287749
Kothanur,2 BHK,1200,2,51,2,4250
Kothanur,3 Bedroom,2400,2,150,3,6250
Kothanur,3 BHK,1828,3,110,3,6017.50547
Kothanur,2 BHK,1186,2,58,2,4890.387858
Kothanur,3 BHK,1847,3,105,3,5684.894423
Kothanur,5 Bedroom,9600,5,550,5,5729.166667
Kothanur,3 BHK,1435,3,70,3,4878.04878
Kothanur,2 BHK,1187,2,58,2,4886.267902
Kothanur,3 BHK,1847,3,110,3,5955.603682
Kothanur,3 BHK,1460,3,71,3,4863.013699
Kothanur,2 BHK,1185,2,59,2,4978.902954
Kothanur,3 BHK,1436,3,70,3,4874.651811
Kothanur,3 BHK,1462,3,71,3,4856.361149
Kothanur,3 BHK,1790,3,105,3,5865.921788
Kothanur,2 BHK,1070,2,45.5,2,4252.336449
Kothanur,2 BHK,1145,2,56,2,4890.829694
Kothanur,4 Bedroom,3401,5,230,4,6762.716848
Kothanur,2 BHK,1455,2,69,2,4742.268041
Kothanur,1 Bedroom,627,1,30,1,4784.688995
Kothanur,2 BHK,1302,2,68.5,2,5261.136713
Kothanur,3 BHK,1760,3,111,3,6306.818182
Kothanur,2 BHK,1185,2,58,2,4894.514768
Kothanur,1 Bedroom,1500,1,75,1,5000
Kothanur,2 BHK,1075,2,53,2,4930.232558
Kothanur,3 BHK,1790,3,97,3,5418.994413
Kothanur,4 Bedroom,2700,4,175,4,6481.481481
Kothanur,3 BHK,1786,2,106,3,5935.050392
Kothanur,3 BHK,1787,3,107,3,5987.688864
Kothanur,2 BHK,1141,2,54,2,4732.690622
Kothanur,3 BHK,1760,3,110,3,6250
Kothanur,2 BHK,1160,2,57,2,4913.793103
Kothanur,2 BHK,1095,2,55,2,5022.83105
Kothanur,2 BHK,1142,2,56,2,4903.677758
Kothanur,2 BHK,1074,2,54,2,5027.932961
Kothanur,2 BHK,1285,2,60,2,4669.2607
Kothanur,2 BHK,1075,2,53,2,4930.232558
Kothanur,2 BHK,1140,2,56,2,4912.280702
Kothanur,2 BHK,1400,2,70,2,5000
Kothanur,2 BHK,1140,2,56,2,4912.280702
Kothanur,3 BHK,1787,3,120,3,6715.165081
Kothanur,2 BHK,1185,2,59,2,4978.902954
Kothanur,3 BHK,1790,3,105,3,5865.921788
Kothanur,2 BHK,1130,2,55,2,4867.256637
Kothanur,2 BHK,1094,2,54,2,4936.014625
Kothanur,3 BHK,1170,3,80,3,6837.606838
Kothanur,2 BHK,1400,2,65,2,4642.857143
Kothanur,2 BHK,1195,2,59,2,4937.238494
Kothanur,3 BHK,1790,3,120,3,6703.910615
Kothanur,3 BHK,1454,3,71.5,3,4917.469051
Kudlu,2 BHK,1152,2,53.5,2,4644.097222
Kudlu,2 BHK,1027,2,43,2,4186.952288
Kudlu,2 BHK,1092,2,44,2,4029.304029
Kudlu,2 BHK,1027,2,43,2,4186.952288
Kudlu,2 BHK,1092,2,44,2,4029.304029
Kudlu,2 BHK,1143,2,55,2,4811.898513
Kudlu,2 BHK,1024,2,44,2,4296.875
Kudlu,3 BHK,1600,3,79,3,4937.5
Kudlu,2 BHK,1027,2,42,2,4089.581305
Kudlu,2 BHK,1076,2,50,2,4646.840149
Kudlu,2 BHK,1027,2,44,2,4284.323272
Kudlu,2 BHK,1084,2,53,2,4889.298893
Kudlu,2 BHK,1300,2,56,2,4307.692308
Kudlu,2 BHK,1027,2,44,2,4284.323272
Kudlu,3 BHK,1245,2,60,3,4819.277108
Kudlu,2 BHK,1027,2,44,2,4284.323272
Kudlu,2 BHK,1110,2,46,2,4144.144144
Kudlu,4 BHK,2100,3,114,4,5428.571429
Kudlu,2 BHK,1027,2,44,2,4284.323272
Kudlu,1 BHK,720,1,33,1,4583.333333
Kudlu,2 BHK,1027,2,44,2,4284.323272
Kudlu,2 BHK,1162,2,52,2,4475.043029
Kudlu,2 BHK,1041,2,53,2,5091.258405
Kudlu Gate,3 BHK,1535,3,83,3,5407.166124
Kudlu Gate,3 BHK,1535,3,85,3,5537.459283
Kudlu Gate,3 BHK,1535,3,86,3,5602.605863
Kudlu Gate,3 BHK,1564,2,92,3,5882.352941
Kudlu Gate,2 BHK,1238,2,55,2,4442.649435
Kudlu Gate,3 BHK,1707,2,99.745,3,5843.292326
Kudlu Gate,3 BHK,1335,3,89,3,6666.666667
Kudlu Gate,1 BHK,703,1,52,1,7396.870555
Kudlu Gate,3 BHK,1535,3,86,3,5602.605863
Kudlu Gate,3 BHK,1532,3,83,3,5417.754569
Kudlu Gate,2 BHK,1113,2,50,2,4492.362983
Kudlu Gate,2 BHK,1185,2,50,2,4219.409283
Kudlu Gate,2 BHK,1215,2,45,2,3703.703704
Kudlu Gate,2 BHK,812,2,38.25,2,4710.591133
Kudlu Gate,2 BHK,1547,2,103,2,6658.047835
Kudlu Gate,2 BHK,1336,2,86,2,6437.125749
Kudlu Gate,3 BHK,1919,3,121,3,6305.367379
Kudlu Gate,2 BHK,1464,3,56,2,3825.136612
Kudlu Gate,3 BHK,1535,3,85,3,5537.459283
Kudlu Gate,3 BHK,1850,3,120,3,6486.486486
Kudlu Gate,2 BHK,940,2,69.57,2,7401.06383
Kudlu Gate,2 BHK,1215,2,44.96,2,3700.411523
Kudlu Gate,2 BHK,1164,2,75,2,6443.298969
Kudlu Gate,4 Bedroom,3850,6,205,4,5324.675325
Kudlu Gate,2 BHK,1183,2,79.54,2,6723.584108
Kudlu Gate,3 BHK,1850,3,110,3,5945.945946
Kudlu Gate,2 BHK,1183,2,79.54,2,6723.584108
Kudlu Gate,2 BHK,1200,2,44.4,2,3700
Kudlu Gate,2 BHK,1310,2,53,2,4045.801527
Kumaraswami Layout,4 Bedroom,2000,4,139,4,6950
Kumaraswami Layout,2 BHK,1000,2,48.5,2,4850
Kumaraswami Layout,2 BHK,1000,2,58,2,5800
Kumaraswami Layout,7 Bedroom,2400,7,125,7,5208.333333
Kumaraswami Layout,3 Bedroom,2400,2,125,3,5208.333333
Kumaraswami Layout,3 BHK,1310,2,70,3,5343.51145
Kumaraswami Layout,1 Bedroom,850,1,78,1,9176.470588
Kumaraswami Layout,7 Bedroom,3200,7,150,7,4687.5
Kumaraswami Layout,3 BHK,1310,2,85,3,6488.549618
Kumaraswami Layout,4 BHK,2450,3,110,4,4489.795918
Kumaraswami Layout,7 Bedroom,3100,7,145,7,4677.419355
Kumaraswami Layout,3 Bedroom,1200,3,75,3,6250
Kumaraswami Layout,2 BHK,1081,2,60,2,5550.416281
Kundalahalli,3 BHK,1724,3,125,3,7250.580046
Kundalahalli,2 BHK,1030,2,49,2,4757.281553
Kundalahalli,2 BHK,735,2,57.99,2,7889.795918
Kundalahalli,2 BHK,1047,2,82,2,7831.900669
Kundalahalli,3 BHK,1397,3,105,3,7516.105941
Kundalahalli,3 BHK,1724,3,127,3,7366.589327
Kundalahalli,2 BHK,1010,2,49.27,2,4878.217822
Kundalahalli,3 BHK,1397,3,110,3,7874.015748
Kundalahalli,3 BHK,1397,3,104,3,7444.52398
Kundalahalli,3 BHK,1397,3,108,3,7730.851825
Kundalahalli,3 BHK,1920,3,150,3,7812.5
Kundalahalli,3 BHK,1397,3,105,3,7516.105941
Kundalahalli,3 BHK,1724,3,124,3,7192.575406
Kundalahalli,2 BHK,1047,2,84,2,8022.922636
Kundalahalli,2 BHK,1047,2,83,2,7927.411652
Kundalahalli,4 Bedroom,7000,4,550,4,7857.142857
Kundalahalli,2 BHK,1120,2,53.76,2,4800
Kundalahalli,2 BHK,1047,2,82.62,2,7891.117479
Kundalahalli,2 BHK,1047,2,91,2,8691.499522
Kundalahalli,3 BHK,1724,3,146,3,8468.677494
Kundalahalli,3 Bedroom,1600,3,170,3,10625
Kundalahalli,3 BHK,1724,3,125,3,7250.580046
Kundalahalli,2 BHK,1010,2,48.27,2,4779.207921
Kundalahalli,2 BHK,1047,2,89,2,8500.477555
Kundalahalli,4 Bedroom,2500,5,245,4,9800
Kundalahalli,3 BHK,1397,3,105,3,7516.105941
Kundalahalli,2 BHK,1047,2,72,2,6876.790831
Kundalahalli,2 BHK,1260,2,58,2,4603.174603
Kundalahalli,4 Bedroom,3092,4,230,4,7438.5511
Kundalahalli,2 BHK,1065,2,70,2,6572.769953
Kundalahalli,3 BHK,1724,3,146,3,8468.677494
Kundalahalli,2 BHK,1047,2,91,2,8691.499522
Kundalahalli,3 BHK,1724,3,128,3,7424.593968
Kundalahalli,2 BHK,1315,2,74,2,5627.376426
Kundalahalli,3 Bedroom,2100,3,150,3,7142.857143
Kundalahalli,3 BHK,1724,3,125,3,7250.580046
Kundalahalli,3 BHK,1724,3,140,3,8120.649652
Kundalahalli,2 BHK,1175,2,65,2,5531.914894
LB Shastri Nagar,2 BHK,1043,2,55,2,5273.25024
LB Shastri Nagar,2 BHK,1184,2,69,2,5827.702703
LB Shastri Nagar,1 BHK,665,1,32,1,4812.030075
LB Shastri Nagar,2 BHK,1250,2,48.5,2,3880
LB Shastri Nagar,3 BHK,1400,2,80,3,5714.285714
LB Shastri Nagar,2 BHK,1184,2,62,2,5236.486486
LB Shastri Nagar,2 BHK,1200,2,47,2,3916.666667
LB Shastri Nagar,2 BHK,1200,2,75,2,6250
LB Shastri Nagar,2 BHK,1000,2,49.5,2,4950
Laggere,5 Bedroom,2800,5,125,5,4464.285714
Laggere,3 Bedroom,1200,3,130,3,10833.33333
Laggere,1 Bedroom,1200,1,125,1,10416.66667
Laggere,2 Bedroom,1200,2,75,2,6250
Laggere,1 Bedroom,620,2,48,1,7741.935484
Lakshminarayana Pura,2 BHK,1185,2,75,2,6329.113924
Lakshminarayana Pura,3 BHK,1600,2,108,3,6750
Lakshminarayana Pura,2 BHK,1180,2,75,2,6355.932203
Lakshminarayana Pura,2 BHK,1172,2,82,2,6996.587031
Lakshminarayana Pura,2 BHK,1179,2,75,2,6361.323155
Lakshminarayana Pura,2 BHK,1149,2,75,2,6527.415144
Lakshminarayana Pura,2 BHK,1336,2,100,2,7485.02994
Lakshminarayana Pura,2 BHK,1175,2,75,2,6382.978723
Lakshminarayana Pura,2 BHK,1190,2,75,2,6302.521008
Lakshminarayana Pura,2 BHK,1200,2,75,2,6250
Lakshminarayana Pura,2 BHK,1200,2,75,2,6250
Lakshminarayana Pura,2 BHK,1165,2,75,2,6437.76824
Lakshminarayana Pura,2 BHK,1145,2,75,2,6550.218341
Lakshminarayana Pura,3 BHK,1500,3,104,3,6933.333333
Lakshminarayana Pura,2 BHK,1210,2,75,2,6198.347107
Lakshminarayana Pura,2 BHK,1169,2,75,2,6415.739949
Lakshminarayana Pura,2 BHK,1200,2,75,2,6250
Lakshminarayana Pura,2 BHK,1172,2,75,2,6399.317406
Lakshminarayana Pura,2 BHK,1172,2,75,2,6399.317406
Lakshminarayana Pura,2 BHK,1180,2,75,2,6355.932203
Lakshminarayana Pura,2 BHK,1200,2,83,2,6916.666667
Lakshminarayana Pura,2 BHK,1200,2,80,2,6666.666667
Lakshminarayana Pura,2 BHK,1195,2,75,2,6276.150628
Lakshminarayana Pura,2 BHK,1200,2,80,2,6666.666667
Lingadheeranahalli,3 BHK,1521,3,95,3,6245.890861
Lingadheeranahalli,3 BHK,1511,3,95,3,6287.227002
Lingadheeranahalli,3 BHK,1683,3,109,3,6476.530006
Lingadheeranahalli,3 BHK,1519,3,93,3,6122.44898
Lingadheeranahalli,3 BHK,1521,3,94.99,3,6245.233399
Lingadheeranahalli,3 BHK,1682,3,120,3,7134.363853
Lingadheeranahalli,3 BHK,1521,3,94.71,3,6226.824458
Lingadheeranahalli,3 BHK,1893,3,130,3,6867.406233
Lingadheeranahalli,3 BHK,1705,3,110,3,6451.612903
Lingadheeranahalli,4 BHK,2245,4,154,4,6859.688196
Lingadheeranahalli,3 BHK,1682,3,113,3,6718.192628
Lingadheeranahalli,3 BHK,1682,3,114,3,6777.64566
Lingadheeranahalli,3 BHK,1506,3,95,3,6308.10093
Lingadheeranahalli,3 BHK,1683,3,110,3,6535.947712
Lingadheeranahalli,3 BHK,1684,3,120,3,7125.890736
Lingadheeranahalli,4 BHK,2236,4,153,4,6842.576029
Lingadheeranahalli,3 BHK,1894,4,114,3,6019.007392
Lingadheeranahalli,4 BHK,2240,4,160,4,7142.857143
Magadi Road,6 Bedroom,3600,6,141,6,3916.666667
Magadi Road,2 BHK,1116,2,50,2,4480.286738
Magadi Road,2 BHK,884,2,41.1,2,4649.321267
Magadi Road,2 BHK,1005,2,55.78,2,5550.248756
Magadi Road,2 BHK,1000,2,46.5,2,4650
Magadi Road,4 Bedroom,1500,2,93,4,6200
Magadi Road,2 BHK,1345,2,55,2,4089.219331
Magadi Road,5 Bedroom,5000,6,360,5,7200
Magadi Road,2 BHK,1116,2,51.89,2,4649.641577
Magadi Road,3 BHK,1052,2,60,3,5703.422053
Magadi Road,2 BHK,940,2,50,2,5319.148936
Magadi Road,3 BHK,1318,2,68,3,5159.332322
Magadi Road,2 BHK,884,2,48,2,5429.864253
Mahadevpura,2 BHK,1150,2,52,2,4521.73913
Mahadevpura,2 BHK,1250,2,52,2,4160
Mahadevpura,2 BHK,1260,2,57.6,2,4571.428571
Mahadevpura,1 BHK,730,1,35,1,4794.520548
Mahadevpura,3 BHK,1434,2,67.39,3,4699.44212
Mahadevpura,2 BHK,1146,2,53.8,2,4694.589878
Mahadevpura,2 BHK,1532,2,62,2,4046.997389
Mahadevpura,3 BHK,1620,2,76,3,4691.358025
Mahadevpura,2 BHK,1136,2,64.5,2,5677.816901
Mahadevpura,3 BHK,1400,2,65.8,3,4700
Mahadevpura,2 BHK,1137,2,53.4,2,4696.569921
Mahadevpura,3 BHK,1601,3,95,3,5933.79138
Mahadevpura,3 BHK,1450,3,75,3,5172.413793
Mahadevpura,2 BHK,1152,2,54,2,4687.5
Mahadevpura,2 BHK,1212,2,56.9,2,4694.719472
Mahadevpura,3 BHK,1505,3,78,3,5182.724252
Mahadevpura,3 BHK,1500,2,70,3,4666.666667
Mahadevpura,2 BHK,1236,2,58,2,4692.556634
Mahadevpura,2 BHK,1236,2,58,2,4692.556634
Mahadevpura,2 BHK,1120,2,53,2,4732.142857
Mahalakshmi Layout,4 Bedroom,1575,5,158,4,10031.74603
Mahalakshmi Layout,2 BHK,1105,2,80,2,7239.819005
Mahalakshmi Layout,4 Bedroom,1200,3,160,4,13333.33333
Mahalakshmi Layout,3 BHK,1200,2,110,3,9166.666667
Mahalakshmi Layout,3 BHK,1876,3,150,3,7995.735608
Mallasandra,3 BHK,1665,3,95,3,5705.705706
Mallasandra,3 BHK,1665,3,86.58,3,5200
Mallasandra,2 BHK,1340,2,61,2,4552.238806
Mallasandra,2 BHK,1325,2,70,2,5283.018868
Mallasandra,3 BHK,1665,3,86.91,3,5219.81982
Mallasandra,2 BHK,1325,2,70,2,5283.018868
Mallasandra,2 BHK,905,2,40,2,4419.889503
Mallasandra,2 BHK,1325,2,65,2,4905.660377
Mallasandra,2 BHK,1325,2,73,2,5509.433962
Mallasandra,2 BHK,1565,2,69,2,4408.945687
Mallasandra,2 BHK,905,2,35,2,3867.403315
Mallasandra,3 BHK,1100,2,76.3,3,6936.363636
Malleshpalya,2 BHK,1140,2,46.5,2,4078.947368
Malleshpalya,2 BHK,1225,2,46.86,2,3825.306122
Malleshpalya,2 BHK,1052,2,50,2,4752.851711
Malleshpalya,3 BHK,1405,2,77,3,5480.427046
Malleshpalya,2 BHK,1065,2,50,2,4694.835681
Malleshpalya,2 BHK,1210,2,55,2,4545.454545
Malleshpalya,2 BHK,1060,2,40,2,3773.584906
Malleshpalya,3 BHK,1430,2,69.5,3,4860.13986
Malleshpalya,2 BHK,1421,2,90,2,6333.56791
Malleshpalya,2 BHK,1245,2,55,2,4417.670683
Malleshpalya,2 BHK,1200,2,46,2,3833.333333
Malleshpalya,2 BHK,1225,2,52,2,4244.897959
Malleshwaram,1 BHK,705,1,67,1,9503.546099
Malleshwaram,7 BHK,12000,7,2200,7,18333.33333
Malleshwaram,4 BHK,2500,5,325,4,13000
Malleshwaram,3 BHK,2006,3,297,3,14805.58325
Malleshwaram,1 BHK,686,1,62.5,1,9110.787172
Malleshwaram,3 BHK,2475,4,332,3,13414.14141
Malleshwaram,3 BHK,2610,3,399,3,15287.35632
